filepath,filename,label,split,file_hash,speaker_id,file_size,frame_count,fps,duration,width,height
/Users/client/Desktop/TRAINING SET 2.9.25/help 1.mp4,help 1.mp4,help,train,9c9ab3a45eb6b7af5eb90271fc085331,1,2370549,46,29.97002997002997,1.5348666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 16.mp4,doctor 16.mp4,doctor,train,bd87e6ec7afe706c913947ee21e111fa,16,4195401,64,23.976023976023978,2.6693333333333333,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 20.mp4,glasses 20.mp4,glasses,train,071805222d67e5e880ff2c66c037139a,20,4625884,90,29.97002997002997,3.003,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 13.mp4,pillow 13.mp4,pillow,train,44600f8d3329e1c1dd9c6bb4708f8a71,13,610769,61,29.97002997002997,2.0353666666666665,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 6.mp4,pillow 6.mp4,pillow,train,53068064f79507ec184dc435e3383fd6,6,403385,45,29.97002997002997,1.5015,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 7.mp4,pillow 7.mp4,pillow,train,0a88d8bd35a46256473d92a0b7b55e23,7,516299,67,29.97002997002997,2.2355666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 12.mp4,pillow 12.mp4,pillow,train,f174516215abc6c604ed2212836c8c9d,12,695778,66,29.97002997002997,2.2022,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 17.mp4,doctor 17.mp4,doctor,train,64e6733dfa3f4a85aaaebfcc2962fa57,17,3201751,61,29.97002997002997,2.0353666666666665,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/help 2.mp4,help 2.mp4,help,train,ec4abfe087d295048c07be60802c6128,2,2336955,43,29.97002997002997,1.4347666666666667,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 15.mp4,doctor 15.mp4,doctor,train,49de367451f5fbacbd1fe42751a022ea,15,3181498,48,23.976023976023978,2.002,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 1.mp4,doctor 1.mp4,doctor,train,d7c169cbd849764719e65127a224de07,1,479401,55,29.97002997002997,1.8351666666666666,1280,720
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 5.mp4,pillow 5.mp4,pillow,train,347afcc303a639921f1b1f307e35d7f8,5,398814,49,29.97002997002997,1.6349666666666667,1280,720
