original_path,processed_path,filename,processed_filename,label,split,speaker_id,original_hash,processed_hash,processed_shape,original_frames,final_frames,duration,original_size,processed_size
/Users/client/Desktop/TRAINING SET 2.9.25/help 1.mp4,simple_processed_data/train/help/help 1.npy,help 1.mp4,help 1.npy,help,train,1,9c9ab3a45eb6b7af5eb90271fc085331,f366db8b0eb593bd688313b9c5b9e690,"(16, 96, 96, 1)",46,16,1.5348666666666666,2370549,589952
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 16.mp4,simple_processed_data/train/doctor/doctor 16.npy,doctor 16.mp4,doctor 16.npy,doctor,train,16,bd87e6ec7afe706c913947ee21e111fa,aa69a5f8ec83ee8c0254ece061c7f413,"(16, 96, 96, 1)",64,16,2.6693333333333333,4195401,589952
/Users/client/Desktop/TRAINING SET 2.9.25/glasses 20.mp4,simple_processed_data/train/glasses/glasses 20.npy,glasses 20.mp4,glasses 20.npy,glasses,train,20,071805222d67e5e880ff2c66c037139a,f2b4235d8675ec17f80f0ed7f20bacc9,"(16, 96, 96, 1)",90,16,3.003,4625884,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 13.mp4,simple_processed_data/train/pillow/pillow 13.npy,pillow 13.mp4,pillow 13.npy,pillow,train,13,44600f8d3329e1c1dd9c6bb4708f8a71,72f102fd5f34986b8935f97fb25d89e8,"(16, 96, 96, 1)",61,16,2.0353666666666665,610769,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 6.mp4,simple_processed_data/train/pillow/pillow 6.npy,pillow 6.mp4,pillow 6.npy,pillow,train,6,53068064f79507ec184dc435e3383fd6,3ae28953749c2dcae2831ddbed5dac3d,"(16, 96, 96, 1)",45,16,1.5015,403385,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 7.mp4,simple_processed_data/train/pillow/pillow 7.npy,pillow 7.mp4,pillow 7.npy,pillow,train,7,0a88d8bd35a46256473d92a0b7b55e23,4ff4a6753de6fb03ca7da56da02b0c38,"(16, 96, 96, 1)",67,16,2.2355666666666667,516299,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 12.mp4,simple_processed_data/train/pillow/pillow 12.npy,pillow 12.mp4,pillow 12.npy,pillow,train,12,f174516215abc6c604ed2212836c8c9d,23f6ccf405bbbcd98bcfd4431d0b2ddd,"(16, 96, 96, 1)",66,16,2.2022,695778,589952
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 17.mp4,simple_processed_data/train/doctor/doctor 17.npy,doctor 17.mp4,doctor 17.npy,doctor,train,17,64e6733dfa3f4a85aaaebfcc2962fa57,4580da6463325c0b2d58b7a36d341ab6,"(16, 96, 96, 1)",61,16,2.0353666666666665,3201751,589952
/Users/client/Desktop/TRAINING SET 2.9.25/help 2.mp4,simple_processed_data/train/help/help 2.npy,help 2.mp4,help 2.npy,help,train,2,ec4abfe087d295048c07be60802c6128,1b1040d3836482b17f983a583a5532b7,"(16, 96, 96, 1)",43,16,1.4347666666666667,2336955,589952
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 15.mp4,simple_processed_data/train/doctor/doctor 15.npy,doctor 15.mp4,doctor 15.npy,doctor,train,15,49de367451f5fbacbd1fe42751a022ea,207698bcb4e99af3989b81a3894f16dd,"(16, 96, 96, 1)",48,16,2.002,3181498,589952
/Users/client/Desktop/TRAINING SET 2.9.25/doctor 1.mp4,simple_processed_data/train/doctor/doctor 1.npy,doctor 1.mp4,doctor 1.npy,doctor,train,1,d7c169cbd849764719e65127a224de07,047f306fb839e8db5df86ba2207c149e,"(16, 96, 96, 1)",55,16,1.8351666666666666,479401,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 5.mp4,simple_processed_data/train/pillow/pillow 5.npy,pillow 5.mp4,pillow 5.npy,pillow,train,5,347afcc303a639921f1b1f307e35d7f8,8b401dedb9874d7aa835a712b87f118b,"(16, 96, 96, 1)",49,16,1.6349666666666667,398814,589952
/Users/client/Desktop/TRAINING SET 2.9.25/pillow 4.mp4,simple_processed_data/train/pillow/pillow 4.npy,pillow 4.mp4,pillow 4.npy,pillow,train,4,6927710f4ca2e808515d1de6c3635f87,1653489fa213dafb309a161913265b63,"(16, 96, 96, 1)",55,16,1.8351666666666666,376362,589952
